Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Norway;0.2;0.28;0.27;0.43;0.46;0.39;0.53;0.69;0.43;3.33;4.06;3.37;1.93;1.98;1.97;1.93
Oman;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Pakistan;71.83;70.69;68.18;64.49;66.76;64.38;65.14;66.77;67.91;67.5;62.67;64.47;64.2;64.1;63.47;63.09
Palau;;;;;;;;;;;;;;;;
Panama;29.57;50.78;35.41;49;33.99;35.7;39.82;42.3;37.93;43.31;42.9;47.32;37.07;42.07;44.2;34.67
Papua New Guinea;;;;;;;;;;;;;;;;
Paraguay;;;;;;;;;;;0;0;0;0;0.01;0
Peru;18.01;14.48;17.09;18.29;27.11;27.73;26.71;33.29;39.87;39.41;42.28;43.24;44.75;46.06;47.63;47.27
Philippines;57.11;62.71;64.36;66.58;66.27;67.63;63.97;68.4;66.08;67.41;73.69;71.31;71.53;73.56;74.36;74.56
Poland;98.32;98.01;97.95;98.48;97.7;97.3;97.11;96.41;95.67;94.22;92.99;91.86;89.49;89.51;87.36;86.08
Portugal;69.74;65.35;78.11;61.35;71.93;81.46;67;64.81;67.16;62.43;46.58;52.9;56.93;41.09;38.77;51.87
Puerto Rico;;;;;;;;;;;;;;;;
Qatar;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Republic of Congo;0.34;;;14.29;16.88;18.01;17.88;17.69;18.66;38.78;45.28;38.82;41.94;43.18;45.29;46.66
Romania;61.04;62.19;60.61;67.05;60.95;56.63;61.73;61.55;56.2;52.71;47.34;54.74;55.1;45.73;40.49;42.6
Russia;65.9;64.62;65.38;66.19;65.19;65.71;66.4;66.42;68.09;65.52;67.12;67.45;67.5;66.16;66.01;65.48
Rwanda;;;;;;;;;;;;;;;;
Saint Kitts;;;;;;;;;;;;;;;;
Saint Lucia;;;;;;;;;;;;;;;;
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;;;;;;;;;;;;;;;;
Samoa;;;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;;;;;;;;;;;;;;;;
Saudi Arabia;73.72;81.11;83.69;86.74;87;86.57;85.61;85.67;84.14;72.57;70.21;69.79;72.37;76.7;75.06;76.21
Senegal;90.02;91.49;79.75;74.95;78;81.8;87;90.06;88.61;88.14;86.38;86.04;86.72;87.78;87.78;87.79
Serbia;64.85;64.56;66.49;72.15;70.49;67.01;69.94;72.54;74.03;72.05;68.23;77.21;74.31;73.93;67.01;73.08
Seychelles;;;;;;;;;;;;;;;;
Sierra Leone;;;;;;;;;;;;;;;;
Singapore;98.45;97.14;97.27;97.2;97.4;97.5;97.58;97.63;97.49;97.41;97.4;97.36;97.31;97.14;97.06;96.92
Slovakia;31.36;30.28;27.36;30.68;30.44;28.4;26.75;27.07;25.86;26.51;25.07;27.48;25.65;22.26;19.44;19.98
Slovenia;36.4;36.92;38.75;40;36.62;37.39;38.76;39.65;35.46;35.07;35.95;36.52;36.56;34.11;24.33;32.44
Solomon Islands;;;;;;;;;;;;;;;;
Somalia;;;;;;;;;;;;;;;;
South Africa;93.06;93.75;93.3;94.11;93.94;94.67;94.74;95.21;94.32;94.12;94.34;93.88;94.71;93.82;93.18;92.79
South Korea;60.8;62.34;62.83;60.71;62.56;60.65;61.71;65.33;64.97;66.19;68.73;68.62;70.15;72.34;69.5;67.72
South Sudan;;;;;;;;;;;;;99.55;99.58;99.59;99.39
Spain;55.95;51.37;59.79;54.15;57.7;63.64;61.7;62.08;60.7;56.16;46.17;49.85;49.2;40.02;38.8;44.07
Sri Lanka;54.2;53.99;61.82;57.1;63.86;62.77;51;59.93;58.46;60.7;46.88;59.15;70.76;40.12;60.8;51.52
Sudan;53.95;55.35;58.39;65.32;68.07;67.04;69.7;71.1;73.43;50.27;17.3;23.51;29.85;19.15;21.65;22.62
Suriname;11.6;13.36;20.62;27.39;34.4;47.3;33.12;25.85;22.05;23.22;29.81;39.36;36.76;40.06;37.66;39.95
Swaziland;;;;;;;;;;;;;;;;
Sweden;3.07;3.63;4.84;6.45;2.98;2.13;2.64;2.18;2.06;2.32;4.43;2.53;1.53;1.54;1.04;1.09
