Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Guinea-Bissau;91.24;91.21;91.04;89.05;88.55;88.53;88.29;87.9;88.42;87.89;87.81;87.72;87.61;87.42;87.06;86.85
Guyana;39.5;40.32;43.24;43.4;44.49;43.36;47.27;35.98;34.54;33.7;33.84;36.3;28.26;26.27;24.02;25.26
Haiti;76.04;73.88;74.75;74.92;71.29;76.9;77.01;75.56;75.77;76.87;79.02;79.01;83.16;82.33;78.39;76.07
Honduras;55.13;50.54;49.56;48.45;48.19;49.81;51.57;50.13;51.16;52.6;53.16;51.97;48.78;49.77;54.04;51.54
Hungary;5.17;5.12;5.17;5.01;4.63;4.66;5.36;6.14;6.76;8.4;13.46;14.74;16.47;17.2;15.67;15.56
Iceland;60.66;62.12;61.84;61.88;61.81;62.47;64.02;66.75;73.46;74.12;75.42;76.45;77.34;76.22;76.34;77.03
India;51.58;51.79;50.57;50.84;49.72;48.58;47.44;45.87;43.63;40.77;39.48;38.93;38.39;37.85;36.65;36.02
Indonesia;45.58;44.31;44.64;42.98;41.42;41.45;39.94;39.97;40.16;38.97;37.75;38.23;38.23;38.11;37.45;36.88
Iran;0.44;0.52;0.66;0.83;0.74;1.4;1.4;1.3;0.7;0.78;0.9;0.92;0.93;1;0.94;0.91
Iraq;0.36;0.35;0.32;0.36;0.36;2.3;2.55;2.03;1.19;1.24;1.71;1.07;1.26;1.37;0.91;0.8
Ireland;2.03;1.97;2.25;2.01;2.31;2.89;3.2;3.56;4.15;5.25;5.27;6.71;6.62;7.4;8.52;9.08
Isle of Man;;;1.48;1.12;8.81;5.09;5.75;3.34;3.4;4.25;4.05;4.39;6.43;3.74;3.81;4.21
Israel;5.97;6.3;6.52;6.52;6.71;7;6.82;6.65;8.82;8.42;8.5;9.02;2.69;3.32;3.68;3.71
Italy;5.12;5.38;5.6;6.24;5.94;6.7;7.51;8.73;10.82;12.54;12.79;11.9;14.39;16.32;17.09;16.52
Ivory Coast;63.72;64.73;65.32;70.32;75.52;78.07;74.91;76.45;74.32;73.67;75.37;78.9;74.9;72.58;72.22;64.53
Jamaica;11.9;11.15;12.73;13;11.48;11.32;9.31;9.5;10.76;14.04;13.72;13.88;17.04;15.76;16.12;16.77
Japan;3.92;3.74;3.7;4.08;4.01;3.65;4.03;3.75;3.98;4.04;4.59;4.69;4.53;4.91;5.63;6.3
Jordan;2.08;2.12;2.09;1.98;1.83;1.69;2.28;2.33;2.74;2.78;2.97;3.03;2.94;3.15;3.13;3.23
Kazakhstan;2.51;2.41;2.77;2.28;1.89;2.09;2.13;1.83;1.15;1.31;1.38;1.38;1.33;1.17;1.31;1.56
Kenya;79.04;80.24;80.54;83.18;82.27;81.23;79.77;80.26;80.48;78.15;76.27;77.08;78.5;77.14;75.52;72.66
Kiribati;4.85;5.23;3.81;3.93;3.78;2.79;2.51;3.11;2.67;3.08;3.46;3.57;3.28;3.03;3.47;4.25
Kosovo;28.3;23.93;24.11;23.82;24.13;22.92;22.15;21.2;20.56;20.92;20.92;19.72;20.86;20.9;21.46;20.45
Kuwait;;;;;;;;;;;;;;;;
Kyrgyzstan;35.17;36.01;28.3;30.52;27.71;28.04;27.77;24.5;22.05;24.73;25.59;25.95;22.45;24.58;26.61;23.31
Laos;85.47;84.85;83.9;82.08;77.65;77.24;73;72.22;69.06;66.82;71.51;66.27;63.35;60.68;60.47;59.32
Latvia;35.82;35.35;34.38;34.34;36.11;36.3;34;33.08;33.7;38.39;33.06;35.53;40.37;39.6;40.24;38.1
Lebanon;4.91;4.42;5.74;7.46;6.52;6.92;7.5;8.56;5.67;4.28;5.2;5.18;4.94;5.72;3.23;3.65
Lesotho;56.7;56.5;56.16;55.94;55.41;55.31;55.46;55.33;54.99;53.98;53.45;53.14;52.41;52.3;51.39;52.14
Liberia;90.83;90.72;91.4;90.72;90.18;88.23;87.63;89.85;91.49;91.51;89.21;87.37;85.18;86.99;83.94;83.85
Libya;2.04;2.02;1.97;1.95;1.87;1.81;1.88;2;1.88;1.72;1.57;2.23;1.91;1.72;1.75;1.97
Liechtenstein;;;;;;;;54.48;54.2;58.99;58.69;61.43;61.92;60.47;62.59;63.13
Lithuania;17.19;17.59;17.89;18.07;18.07;17.51;17.46;17.06;18.33;20.09;21.46;22.74;23.92;26.34;27.71;28.96
Luxembourg;6.85;3.43;1.31;1.27;1.36;1.89;2.09;3.64;3.97;3.74;3.66;3.73;4.15;5.72;6.88;9.03
Macedonia;19.38;15.17;14.63;17.29;18.2;18.95;19.65;15.7;15.59;18.47;22.33;18.64;18.28;21.2;21.2;24.22
Madagascar;78.4;80;83.48;80.6;79.86;80.47;84.34;83.34;82.33;83.18;81.93;78.84;76.4;72.74;72.03;70.17
Malawi;82.47;81.22;82.18;81.34;82.29;83.8;83.34;84.09;81.53;83.36;79.47;79.66;80.37;79.87;79.95;83.65
Malaysia;6.74;6.48;5.72;5.41;5.17;4.92;4.99;4.56;4.73;4.23;3.82;4.11;4.41;4.49;4.77;5.19
Maldives;2.13;2.05;1.63;1.97;1.53;1.76;1.44;1.38;1.36;1.26;1.16;1.14;1.04;1.04;0.9;1.01
Mali;85.39;85.33;85.91;86.44;85.84;85.8;82.67;78.89;76.24;72.71;69.13;66.65;64.93;62.41;64.59;61.53
