Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Iran;1534.62;1628.12;1727.34;1869.76;1990.3;2060.09;2200.21;2285.04;2398.47;2479.92;2631.24;2651.08;2751.34;2795.96;2985.69;
Iraq;1237.41;1238.47;1264.55;1040.79;1202.13;833.85;973;768.85;750.19;836.5;1195.99;1272.73;1110.27;1397.13;1305.69;
Ireland;5796.06;5896.94;6035.69;6092.55;6168.4;6241.72;6351.1;6218.31;6340.73;5947.91;5927.87;5657.54;5651.01;5698.76;5672.06;
Isle of Man;;;;;;;;;;;;;;;;
Israel;6323.1;6400.22;6502.74;6597.31;6525.92;6572.2;6711.23;7003.25;7134;6607.89;6953.28;6930;7184.5;6710.09;6600.9;
Italy;5299.86;5406.49;5539.7;5652.52;5688;5731.1;5833.47;5804.33;5757.96;5368.39;5493.71;5514.8;5397.74;5159.18;5002.41;
Ivory Coast;171.58;180.22;175.28;173.59;173.13;171.84;182.25;187.94;196.74;201.74;216.41;198.18;236.2;234.45;276.15;
Jamaica;2274.49;2275.67;2343.21;2405.89;2376.89;2393;2366.79;1921.84;1156.94;1218.58;1213.26;1203.4;1038.02;1015.5;1055.52;
Japan;8299.41;8162.01;8266.1;8164.93;8393.26;8539.01;8542.48;8710.03;8270.01;8020.27;8594.91;8099.6;7998.35;7988.58;7819.71;
Jordan;1294.5;1330.13;1409.55;1452.16;1564.42;1592.55;1695.08;1802.62;1866.62;1831.37;1865.67;1868.13;1941.18;1877.59;1888.12;
Kazakhstan;3169.52;3512.04;3558.33;3768.79;3859.19;4012.07;4261.21;4487.29;4689.17;4447.32;4728.01;4892.74;5180.65;5345.47;5600.21;
Kenya;106.1;115.74;114.95;120.59;127.87;130.21;138.05;141.71;141.16;142.11;150.28;151.13;152.84;163.47;166.74;
Kiribati;;;;;;;;;;;;;;;;
Kosovo;1557.06;1968.08;1953.82;1908.46;2111.32;2169.1;2225.02;2395.86;2644.53;2558.08;2649.69;2946.96;2862.84;2907.74;2804.37;
Kuwait;14027.61;14471.72;15095.39;16331.06;16629.99;17028.29;17738.92;17097.48;17054.75;16531.4;16722.69;15786.33;15833.05;14891.12;15213.42;
Kyrgyzstan;1696.06;1445.88;1365.94;1644.36;1417.91;1374.31;1377.43;1456.23;1378.72;1323.72;1371.72;1649.26;1809.1;1887.02;1941.22;
Laos;;;;;;;;;;;;;;;;
Latvia;2082.32;2213.36;2307.19;2493.93;2607.46;2777.38;2966.61;3169.08;3213.12;3026.61;3229.95;3264.05;3587.93;3472.54;3507.4;
Lebanon;2985.44;2946.55;3010.36;2963.69;2847.85;2810.74;2694.62;2796.06;2966.4;3140.45;3478.79;3342.58;2802.25;3100.39;2892.77;
Lesotho;;;;;;;;;;;;;;;;
Liberia;;;;;;;;;;;;;;;;
Libya;2222.66;2256.75;2773.94;2950.17;3109.16;3431.39;3795.84;3795.58;3159.38;3148.97;3377.29;2863.81;2272.9;2367.18;1857.16;
Liechtenstein;;;;;;;;;;;;;;;;
Lithuania;2516.91;2695.91;2848.91;3087.66;3196.85;3187.03;3353.3;3564.21;3733.63;3622.29;3470.79;3529.92;3607.7;3663.67;3821.15;
Luxembourg;15668.12;15616.33;15980.28;16258.88;16300.11;15644.15;16456.6;16352.32;15937.79;14425.96;16829.96;15586.08;14703.94;14193.17;13914.68;
Macedonia;2895.59;2801;2755.59;3108.95;3143.34;3374.31;3450.07;3621.47;3676.15;3421.31;3574.09;3882.97;3681.23;3551.02;3497;
Madagascar;;;;;;;;;;;;;;;;
Malawi;;;;;;;;;;;;;;;;
Malaysia;2748.08;2759.54;2821.67;2915.87;2986.32;2877.23;3072.42;3284.52;3301.23;3960.6;4159.64;4104.89;4323.35;4484.17;4596.33;
Maldives;;;;;;;;;;;;;;;;
Mali;;;;;;;;;;;;;;;;
Malta;4311.86;4292.32;4500.35;4872.27;4797.29;4912.91;4897.51;4873.08;4836.59;4434.19;4767.1;4867.06;5002.05;4915.87;4924.54;
Marshall Islands;;;;;;;;;;;;;;;;
Mauritania;;;;;;;;;;;;;;;;
Mauritius;1363.25;1453.66;1473.49;1561.77;1614.25;1683.69;1743.12;1816.67;1881.65;1907.12;1995.36;2025.7;2075.04;2148.33;2182.51;
Mexico;1750.56;1784.88;1796.77;1952.54;1882.4;1950.99;1974.47;1998.72;1995.44;1942.76;1963.31;2153.72;2187.23;2079.19;2090.18;
Micronesia;;;;;;;;;;;;;;;;
Moldova;1638.1;1804.51;1872.45;2101.93;1960.91;2047.74;2166.12;1996.42;2028.23;1740.8;1722.89;1470.23;1514.53;1352.79;1386.23;
Monaco;;;;;;;;;;;;;;;;
Mongolia;1053.63;1071.17;1096.72;1139.2;1195.92;1251.96;1299.06;1333.89;1425.73;1380.66;1492.64;1500.63;1594.04;1902.33;2017.51;
Montenegro;;;;;;6314.91;6451.77;6564.64;6287.19;5010.56;5419.52;5741.2;5415.72;4574.96;4612.34;
Morocco;489.09;523.92;534.96;580.45;610.98;633.1;686.73;715.85;732.13;744.3;774.37;823.89;874.43;878.59;901.13;
Mozambique;123.15;271.88;260.56;367.15;440.02;441.76;449.06;449.15;432.36;431.9;440.4;440.68;445.39;436.14;462.62;
Myanmar;76.28;69.25;73.91;80.82;81.33;75.57;89.16;90.28;95.01;100.26;125.41;155.72;157.32;186.83;216.78;
Namibia;994.07;1028.14;1063.63;1106.45;1380.13;1451.14;1540.57;1549.58;1589.94;1541.85;1546.59;1567.96;1610.03;1631.76;1584.57;
Nauru;;;;;;;;;;;;;;;;
Nepal;59.31;64.98;67.98;70.9;74.75;77.38;84.23;88.19;84.08;97.45;102.5;114.61;118.01;131.43;139.14;
Netherlands;6507.11;6599.27;6641.74;6695.72;6882.97;6912.37;7025.83;7157.38;7173.05;6856.28;7006.27;7060.05;6876.59;6833.91;6712.77;
New Caledonia;;;;;;;;;;;;;;;;
New Zealand;9384.35;9417.34;9526.66;9407.03;9666.3;9673.67;9700.09;9640.61;9556.32;9403.85;9601.9;9458.49;9360.95;9089.62;9026.32;
Nicaragua;347.74;346.62;355.59;370.93;396.63;416.97;429.71;464.13;477.97;484.07;514.14;537.03;579.54;598.07;580.48;
Niger;32.68;30.75;30.39;29.79;33.52;36.71;34.89;39.13;39.27;42.68;44.32;47.53;49.52;48.46;51.44;
Nigeria;74.45;75.53;104.6;101.87;123.57;129.26;111.69;138.84;127.18;120.57;136.36;150.13;156.73;142.68;144.48;
North Korea;712.37;735.22;713.47;751.07;779.62;807.01;785.04;748.7;802.83;727.1;741.68;654.71;651.56;617.67;600.29;
Northern Mariana Islands;;;;;;;;;;;;;;;;
Norway;24993.73;25590.69;24620.34;23201.39;24214.11;25083.21;24099.93;24855;24866.13;23859.71;24890.92;23510.38;24070.99;23806.88;22999.93;
Oman;3201.95;3436.05;3522.71;3550.98;3830.66;3923.91;4209.07;4378.16;4776.71;5239.44;5521.03;5879.03;6236.43;6296.41;6553.52;
Pakistan;372.4;378.19;384.79;409.82;429.11;463.06;486.79;480.99;442.71;458.84;465.16;455.32;450.38;481.88;471.04;
Palau;;;;;;;;;;;;;;;;
Panama;1266.52;1289.13;1324.12;1359.54;1424.05;1455.05;1477.93;1571.89;1626.72;1639.39;1744.88;1824;1954.18;2016.95;2062.76;
Papua New Guinea;;;;;;;;;;;;;;;;
Paraguay;887.47;873.93;884.8;839.52;828.23;863.77;920.82;984.05;1033.55;1092.88;1178.61;1282.54;1368.04;1472.99;1563.51;
Peru;680.19;706.06;740.82;764.99;802.84;837.29;887.62;968.13;1039.45;1040.64;1094.31;1241.67;1211.31;1267.6;1307.51;
Philippines;499.35;518.88;522.38;555.57;575.47;576.65;568.25;582.38;585.56;590.13;639.54;645.44;666.49;685.67;699.21;
Poland;3256.18;3260.03;3208.39;3324.47;3416.12;3437.32;3584.96;3661.65;3725.75;3590.83;3797.09;3879.54;3899.18;3938.26;3971.8;
Portugal;3988.96;4119.67;4271.17;4375.73;4533.54;4682.99;4827.47;4890.56;4850.84;4843.85;4959.09;4848.28;4736.35;4685.05;4662.6;
Puerto Rico;;;;;;;;;;;;;;;;
Qatar;14353.32;15006.01;15760.64;16228.91;16231.03;15467.19;15702.97;15192.92;14457.2;14232.64;14821.24;14761.37;15462.41;14445.41;15309.43;
Republic of Congo;92.69;101.63;112.12;111.63;102.62;114.3;122.58;122.23;131.94;141.05;136.55;143.82;208.92;207.31;197.29;
Romania;1987.66;2066.78;2079.8;2237.94;2295.57;2365.42;2446.29;2529.91;2605.82;2390.57;2550.86;2639.03;2604.24;2494.53;2584.41;
Russia;5198.42;5274.38;5304.43;5478.14;5633.86;5770.11;6098.54;6286.05;6399.68;6095.38;6409.9;6485.76;6617.14;6539.21;6602.66;
Rwanda;;;;;;;;;;;;;;;;
Saint Kitts;;;;;;;;;;;;;;;;
Saint Lucia;;;;;;;;;;;;;;;;
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;;;;;;;;;;;;;;;;
Samoa;;;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;;;;;;;;;;;;;;;;
Saudi Arabia;5637.56;5919.1;6021.46;6472.57;6326.09;6590.28;6820.49;6923.85;7188.99;7468.34;7973.51;8023.54;8522.9;8816.32;9444.22;
Senegal;101.68;123.34;145.72;125.95;138.46;157.94;157.14;181.16;158.31;189.07;199.13;199.69;210.75;210.19;223.5;
Serbia;4198.72;4434.37;4480.34;4332.68;4258.25;3921.91;4040.44;4159.14;4291.84;4224.4;4358.81;4489.57;4386.53;4444.22;4271.74;
Seychelles;;;;;;;;;;;;;;;;
Sierra Leone;;;;;;;;;;;;;;;;
