Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Italy;7.91;7.9;7.93;8.17;8.22;8.17;8.07;7.92;7.6;6.8;6.84;6.7;6.21;5.73;5.27;
Ivory Coast;0.41;0.45;0.42;0.31;0.43;0.43;0.37;0.36;0.35;0.28;0.34;0.35;0.43;0.49;0.49;
Jamaica;3.88;3.97;3.8;3.93;3.91;3.83;4.16;3.48;3.66;2.76;2.59;2.78;2.63;2.84;2.59;
Japan;9.62;9.46;9.57;9.73;9.91;9.7;9.63;9.78;9.45;8.62;9.15;9.32;9.64;9.78;9.54;
Jordan;3.04;3.08;3.19;3.24;3.48;3.69;3.56;3.56;3.29;3.21;2.95;2.86;3.06;2.9;3;
Kazakhstan;7.93;8.87;9;9.54;11.53;11.71;12.58;14.36;14.85;13.26;15.23;15.65;14.47;15.43;14.36;
Kenya;0.33;0.29;0.24;0.2;0.22;0.24;0.26;0.26;0.26;0.31;0.29;0.32;0.29;0.3;0.31;
Kiribati;0.35;0.3;0.46;0.45;0.49;0.68;0.74;0.53;0.56;0.4;0.61;0.6;0.58;0.57;0.56;
Kosovo;;;;;;;;;;;;;;;;
Kuwait;26.12;27.33;27.16;27.63;28.78;31.43;31.03;30.05;31.19;30.97;29.89;28.53;30.14;27.33;25.22;
Kyrgyzstan;0.95;0.79;0.99;1.08;1.15;1.08;1.06;1.26;1.44;1.26;1.17;1.39;1.81;1.72;1.65;
Laos;0.18;0.16;0.21;0.2;0.25;0.24;0.27;0.15;0.16;0.2;0.26;0.26;0.26;0.24;0.3;
Latvia;2.68;2.99;2.99;3.22;3.27;3.35;3.61;3.78;3.63;3.38;3.85;3.54;3.47;3.52;3.5;
Lebanon;4.71;4.81;4.54;4.91;4.35;4.07;3.56;3.29;4.19;4.99;4.62;4.46;4.6;4.28;4.3;
Lesotho;0.99;1;1;1.01;1.03;1.03;1.04;1.05;1.06;1.1;1.12;1.13;1.15;1.15;1.15;
Liberia;0.15;0.16;0.16;0.17;0.19;0.22;0.22;0.19;0.15;0.14;0.2;0.22;0.25;0.22;0.21;
Libya;8.8;8.84;8.65;8.75;8.83;9;9.06;8.37;9.25;9.47;10.04;6.41;8.5;9.08;9.19;
Liechtenstein;;;;;;;;1.76;1.75;1.44;1.53;1.31;1.3;1.39;1.19;
Lithuania;3.48;3.71;3.82;3.75;3.92;4.18;4.33;4.69;4.69;3.96;4.35;4.55;4.63;4.27;4.38;
Luxembourg;18.89;19.93;21.11;21.93;24.6;24.82;24.01;22.96;22.39;20.88;21.64;21.1;20.08;18.5;17.36;
Macedonia;5.93;5.87;5.34;5.51;5.44;5.47;5.3;4.6;4.55;4.2;4.15;4.54;4.32;3.78;3.61;
Madagascar;0.12;0.11;0.07;0.1;0.1;0.09;0.09;0.09;0.09;0.09;0.09;0.11;0.12;0.14;0.13;
Malawi;0.08;0.07;0.07;0.07;0.07;0.07;0.07;0.06;0.07;0.06;0.08;0.08;0.07;0.07;0.07;
Malaysia;5.42;5.72;5.53;6.41;6.51;6.8;6.41;6.94;7.53;7.2;7.77;7.7;7.5;7.96;8.03;
Maldives;1.61;1.61;2.02;1.67;2.15;1.89;2.32;2.32;2.44;2.49;2.57;2.63;2.88;2.75;3.27;
Mali;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.08;0.06;0.06;0.07;0.06;0.06;0.08;
Malta;5.29;6.33;5.81;6.48;6.42;6.68;6.35;6.7;6.25;5.81;6.17;6.1;6.38;5.49;5.4;
Marshall Islands;1.48;1.55;1.62;1.62;1.69;1.62;1.76;1.9;1.9;1.96;1.96;1.95;1.95;1.94;1.94;
Mauritania;0.43;0.46;0.47;0.47;0.5;0.51;0.5;0.56;0.57;0.61;0.62;0.64;0.69;0.68;0.67;
Mauritius;2.27;2.39;2.4;2.52;2.53;2.68;2.94;2.98;3.03;2.97;3.13;3.13;3.16;3.23;3.35;
Mexico;3.92;4.01;3.97;4.17;4.12;4.3;4.35;4.3;4.34;4.12;3.96;4.07;4.11;4;3.87;
Micronesia;1.16;1.57;1.34;1.34;1.34;1.14;1.15;1.33;1.12;1.55;1.1;1.17;1.31;1.38;1.45;
Moldova;0.97;1.02;1.1;1.19;1.26;1.36;1.39;1.31;1.34;1.28;1.38;1.42;1.38;1.4;1.39;
Monaco;;;;;;;;;;;;;;;;
Mongolia;3.13;3.26;3.39;3.25;3.42;3.39;3.67;4.66;4.58;4.91;5.09;7.79;9.32;13.51;7.13;
Montenegro;;;;;;3.35;3.88;3.66;4.46;2.95;4.17;4.15;3.76;3.62;3.56;
Morocco;1.18;1.29;1.3;1.26;1.44;1.5;1.54;1.61;1.67;1.64;1.73;1.76;1.88;1.75;1.74;
Mozambique;0.07;0.09;0.08;0.1;0.09;0.09;0.09;0.1;0.1;0.11;0.11;0.13;0.12;0.15;0.31;
Myanmar;0.22;0.19;0.2;0.21;0.26;0.24;0.26;0.26;0.2;0.21;0.25;0.28;0.22;0.25;0.42;
Namibia;0.86;1.04;0.9;0.94;0.98;1.14;1.13;1.14;1.58;1.44;1.43;1.28;1.5;1.13;1.58;
Nauru;8.4;8.03;7.64;6.53;6.52;6.16;4.37;4.4;4.42;4.06;4.39;4.01;3.92;4.07;4.02;
Nepal;0.13;0.14;0.11;0.11;0.11;0.12;0.1;0.1;0.13;0.16;0.19;0.2;0.21;0.24;0.28;
Netherlands;10.89;11.02;11.25;11.23;11.35;11.12;10.99;10.79;10.76;10.43;11.02;10.43;10.16;10.31;9.92;
New Caledonia;10.47;8.69;10.86;12.16;11.06;12.16;11.54;12.31;11.81;12.09;14.18;14.35;14.02;16.09;16.01;
New Zealand;8.55;8.88;8.41;8.46;8.45;8.26;7.99;7.96;8.03;7.53;7.31;7.19;7.75;7.53;7.69;
Nicaragua;0.75;0.78;0.78;0.84;0.83;0.8;0.82;0.83;0.79;0.79;0.79;0.84;0.79;0.77;0.81;
Niger;0.06;0.06;0.06;0.06;0.06;0.05;0.05;0.05;0.05;0.06;0.07;0.08;0.11;0.11;0.11;
Nigeria;0.62;0.68;0.73;0.77;0.77;0.76;0.69;0.65;0.64;0.5;0.58;0.59;0.59;0.57;0.55;
North Korea;3.04;3.12;2.97;3.01;3.05;3.16;3.2;2.65;2.92;2.89;2.7;1.94;1.97;1.44;1.61;
Northern Mariana Islands;;;;;;;;;;;;;;;;
Norway;8.83;9.28;8.38;9.91;9.29;9.18;9.5;9.57;11.68;11.46;12.29;9.12;9.94;11.45;9.27;
Oman;9.65;8.84;10.91;13.58;11.45;11.9;15.33;16.41;15.48;14.26;15.59;16.69;17.08;16.54;15.44;
Pakistan;0.77;0.76;0.79;0.8;0.87;0.89;0.93;0.99;0.97;0.95;0.95;0.93;0.92;0.9;0.9;
Palau;13;13.04;12.74;12.84;12.78;13.08;13.19;12.94;12.51;12.08;12.36;12.28;12.19;12.27;12.34;
Panama;1.91;2.27;1.86;1.92;1.78;2.05;2.17;2.08;2.1;2.4;2.52;2.72;2.68;2.79;2.25;
Papua New Guinea;0.48;0.56;0.59;0.66;0.73;0.69;0.67;0.92;0.71;0.73;0.67;0.73;0.68;0.81;0.81;
Paraguay;0.7;0.71;0.71;0.73;0.72;0.66;0.68;0.69;0.74;0.74;0.82;0.85;0.83;0.84;0.87;
Peru;1.17;1.03;1.02;0.98;1.17;1.34;1.25;1.52;1.43;1.78;1.96;1.67;1.83;1.87;1.99;
Philippines;0.94;0.89;0.88;0.86;0.87;0.87;0.77;0.81;0.87;0.84;0.91;0.9;0.94;1;1.06;
Poland;7.82;7.88;7.71;7.91;7.97;7.93;8.36;8.24;8.26;7.8;8.31;8.33;7.88;7.95;7.52;
Portugal;6.1;6.06;6.41;5.85;6.02;6.22;5.68;5.71;5.27;5.13;4.55;4.51;4.38;4.34;4.33;
Puerto Rico;;;;;;;;;;;;;;;;
Qatar;58.64;67.11;63.35;60.3;56.59;58.92;62.82;53.19;46.67;43.51;40.74;41.21;44.62;37.78;45.42;
Republic of Congo;0.33;0.23;0.17;0.26;0.26;0.26;0.29;0.31;0.32;0.41;0.45;0.5;0.64;0.65;0.64;
Romania;4.04;4.37;4.47;4.68;4.52;4.52;4.88;4.9;4.69;4.01;3.92;4.21;4.07;3.55;3.52;
