Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Guam;69.55;70.86;72.25;73.51;74.84;76.08;77.38;78.75;80.21;81.48;83.62;84.77;85.87;;;
Guatemala;70005.69;21772.12;31424.57;55215.32;24367.66;41739.13;27001.2;34084.6;32857.91;37118.66;30327.55;30950.25;31515.45;;;
Guinea;84360.14;80294.73;102233.51;75067.41;76276;81922.61;101496.41;91126.98;135227.87;160212.12;100274.04;100814.39;101348.99;;;
Guinea-Bissau;6791.44;7464.87;5926.64;10897.16;7123.66;5582.04;10458.94;6842.5;5808.09;5046.76;7536.36;7571.18;7604.73;;;
Guyana;4405.23;4876.15;5086.47;5790.98;4964.89;4917.33;4648.22;4939.33;5112.84;25763.69;5937.29;6042.58;6140.69;;;
Haiti;7179.1;7498.51;7616.28;7598.89;7871.31;8059.94;8169.69;8537.21;8462.39;8453.15;8545.17;8695.43;8835.47;;;
Honduras;21929.62;12536.91;14868.59;22792.46;15006.24;23206.91;16686.65;19178.53;19785.86;19877.56;19663.72;20084.14;20467.16;;;
Hungary;75482.06;75969.17;74621.99;76989.23;75935.95;75543.76;75140.64;72331.25;71578.85;65812.14;66250.77;64385;62988.4;;;
Iceland;4122.34;3830.92;3963.39;3941.86;4023.27;3980.63;4230.93;4449.11;5043.32;5144.29;5390.98;5530.26;5514.85;;;
India;1885189;1875600.85;1917294.66;1976449.15;2090334.85;2117460.59;2232760.11;2382011.76;2438714.28;2594639.92;2771456.76;2828845.83;3002894.93;;;
Indonesia;622464.65;849945.65;1720445.17;888646.15;1060213.55;1171042.59;2381293.72;772946.22;796581.92;1148285.68;744790.02;763553.16;780550.76;;;
Iran;448089.45;460783.88;483378.51;516232.69;552318.8;576650.65;619914.47;650956.81;;;;;;;;
Iraq;124402.47;132843.68;128686.16;107790.88;125423.58;124611.7;129502.48;130078.49;137871.12;138423.77;146903.73;151457.06;155529.51;;;
Ireland;68143.29;70154;69094.69;68872.54;68770.04;70080.71;71503.35;70033.03;70132.72;65613.07;65591.25;61268.1;62433.01;;;
Isle of Man;;;;;;;;;;;;;;;;
Israel;65619.39;65879.06;69487.8;71533.78;70576.27;71353.03;73591.54;77128.57;75238.55;75026.04;79072.44;81703.91;84044.43;;;
Italy;547349.86;543360.17;550782.07;564951.18;562794.85;564114.95;563324.94;547383.14;529283.8;480698.22;489460.13;482619.04;482634;;;
Ivory Coast;29442.74;28584.19;28670.94;22407.15;22931.74;26282.74;27248.77;27859.55;29682.24;30685.23;32525.25;33027.48;33502.16;;;
Jamaica;12364.43;12249.86;12392.12;12959.04;13419.47;13314.89;14549.96;15423.55;13912.56;13884.1;14581.68;15053.51;15474.32;;;
Japan;1406194.59;1387952.21;1422453.19;1428102.13;1427399.2;1439905.16;1425898.63;1461356.12;1385164.84;1290243.65;1350427.91;1396767.26;1478858.88;;;
Jordan;17799.02;17657.35;18834.63;18728.01;20882.01;22339.73;22823.08;23900.58;24469.12;24315.65;25590.05;26440.77;27198.59;;;
Kazakhstan;207395.42;223606.92;285884.29;256799.01;285197.38;291641.05;324812.47;315840.14;330512.05;287801.13;347356.08;350475.73;366502.2;;;
Kenya;46237.25;44415.73;43784.87;46308.66;46544.16;48661.63;50017.92;53054.24;53277.03;52547.68;52675.1;53513.99;54302.1;;;
Kiribati;42.7;43.93;44.79;44.64;46.23;;;51.38;;52.7;;;;;;
Kosovo;;;;;;;;;;;;;;;;
Kuwait;65239.57;63455.72;62755.27;74340.53;82089.05;91416.66;87101.27;86228.46;89301.44;88824.88;93785.57;96788.19;;;;
Kyrgyzstan;9973.96;8996.75;10365.59;10992.91;11243.6;10852.47;10680.91;11464.26;11873.26;13218.81;13008.54;13853.67;13794.74;;;
Laos;24667.95;15958.36;34783.7;20412.98;76333.64;53444.81;25073.37;70977.96;21335.61;24469.64;38034.96;161456.98;161718.74;;;
Latvia;11507.81;12089.66;13748.35;12783.26;13021.82;13288.2;14054.37;14416.14;14204.67;13580.32;14670;14150.1;13943.92;;;
Lebanon;16825.66;18142.41;17968.86;20293.95;18716.22;19431.45;16947.88;15102.07;18270.36;;;;;;;
Lesotho;3230.58;3844.31;2941.82;4650.11;2341;3703.9;2161.3;4439.43;2543.5;2727.98;3425.28;3449.41;3472.71;;;
Liberia;2076.32;2163.91;2047.19;2062.91;2311.55;2082.7;2475.9;2847.61;2863.14;2599.8;2758.55;2797.37;2833.94;;;
Libya;63666.89;62555.04;63328.59;68226.67;68566.55;69931.74;71318.67;71090.57;74238.82;73995.42;77780.09;80072.82;82129.13;;;
Liechtenstein;;;;;;;;;;;;;;;;
Lithuania;21257.13;21048.71;21963.75;21789.31;22521.04;23569.41;24082.21;25791.1;26732.65;24473.52;26786.48;29324.69;29442.21;;;
Luxembourg;10268.36;10701.18;11557.26;12047.22;13115.92;13445.82;13493.66;13072.44;12702.34;12343.32;13034.82;12929.54;12611;;;
Macedonia;;;;;11251;11591.6;11559.34;12465.44;11742.82;11639.37;12257.54;12645.71;12992.25;;;
Madagascar;84187.24;131802.6;84561.66;163798.1;87784.42;159818.56;107263.38;134284.87;94468.14;117984.46;117231.04;117586.22;117932.6;;;
Malawi;15450.39;12365.35;14272.76;20340.81;15083.16;20503.21;15055.37;17520.18;17735.3;15595.83;21415.54;21525.76;21632.13;;;
Malaysia;171393.52;176214.37;199983.48;195386.72;216283.73;246665.16;240375.43;250680.68;256755.87;277979.42;263676.11;271818.84;279098.38;;;
Maldives;;;;;;;;;;;;;;;;
Mali;70241.63;84085.49;79829.52;67302.87;88391.55;87079.09;83577.39;74744.4;86890.41;74104.27;76827.88;77134.18;77437.93;;;
Malta;2553.05;3049.25;2551.86;2955.31;3020.01;3166.97;3056.58;3227.64;;;;;;;;
Marshall Islands;;;;;;;;;;;;;;;;
Mauritania;11950.56;11586.06;10019.58;10307.28;11027.64;11475.54;11509.78;13429.12;11721.45;11967.58;12951.01;13153.86;13343.16;;;
Mauritius;;;;;;;;;;;;;;;;
Mexico;576489.52;547960.58;567679.66;601685.72;567790.06;641308.82;642137.77;646318.66;644167.96;648860.08;643375.43;652861.29;663424.95;;;
Micronesia;;;;;;;;;;;;;;;;
Moldova;10796.14;11371.92;11279.53;11996.3;12302.82;12762.86;12243.8;12163.98;11170.17;11008.69;11338.71;11433.49;11350.63;;;
Monaco;;;;;;;;;;;;;;;;
Mongolia;51756.46;27501.3;50488.32;39185.71;25435.53;27669.27;37790.42;55403.6;46513.8;50237.02;24860.38;;;;;
Montenegro;;;;;;;;;;;;;;;;
Morocco;50974.38;53556.27;53925.24;54270.64;65993.2;70022.09;71423.41;73113.44;72650.85;72152.21;76087.38;78381.4;80436.72;;;
Mozambique;215278.01;293796.22;248706.42;354834.81;301972.73;349872.74;301392.99;317678.29;363780.57;307176.21;379823.55;380073.24;380308.29;;;
Myanmar;185137.09;186669.7;226294.68;187353.37;379912.77;223012.72;199289.35;349940.75;189004.37;266006.03;325367.14;526919.84;528416.22;;;
Namibia;33985.47;31359.31;29497.37;28634.23;34751.22;30934.05;37085.69;36561.1;28595.47;39971.7;37647.57;37855.65;38049.27;;;
Nauru;;;;;;;;;;;;;;;;
Nepal;31234.02;29843.76;28915.42;29847.02;30427.86;30862.52;30946.1;31263.61;32026.57;32809.26;32738.69;33160.97;40762.72;;;
Netherlands;220319.9;220252.52;218276.48;221354.46;221355.35;217083.63;211767.9;208848.04;205061.31;201884.49;212418.46;200143.54;195873.76;;;
New Caledonia;;;;;;;;;;;;;;;;
New Zealand;74422.83;76276.94;77305.47;80252.28;80229.16;82066.57;83539.49;81888.39;81442.9;76062.15;76141.66;75851.12;78130.98;;;
Nicaragua;14043.29;14462.64;14719.83;16965.37;14793.13;16831.87;15048.35;15276.86;15791.95;15861.97;15794.35;16068.64;16323.04;;;
Niger;11124.28;10982.17;9326.63;9570.27;9191.39;10258.53;10176.13;10970.29;10491.43;10530.93;11219.51;11342.12;11460.92;;;
Nigeria;314978.54;319145.79;295068.36;314942.19;288145.57;374421.7;318579.09;335201.39;316058.63;273156.36;292211.74;296799.95;301010.13;;;
North Korea;97813.67;101904.13;96022.37;98123.03;101210.57;106557.19;106807.17;92054.15;99381.17;99920.38;104116.6;107165.32;109894.96;;;
Northern Mariana Islands;8.47;8.85;9.22;9.59;9.96;10.33;10.65;11;11.38;11.8;12.24;12.37;12.49;;;
Norway;71217.9;71491.23;69689.53;73172.63;73534.99;71578.06;71355.5;72404.47;71002.76;65840.66;65710.06;64181.15;63536.73;;;
Oman;35439.11;40680.09;43297.51;46464.79;46069.2;48099.66;50886.2;52515.09;55220.8;55510.21;59041.98;60705.59;62201.55;;;
Pakistan;247348.8;250584.71;256954.14;271615.15;291014.02;299134.72;314154.54;336409.91;338551.92;343244.2;354528.62;362475.09;369734.58;;;
Palau;;;;;;;;;;;;;;;;
Panama;9158.75;11337.66;10475.86;10850.46;10819.01;10588.62;11987.78;11689.15;15082.59;15489.51;15428.76;15860.46;16248.77;;;
Papua New Guinea;8257.46;10359.94;84384.82;10217.69;19650.16;9453.03;14195.87;9773.24;9516.47;11298.73;10667.6;10888.09;11087.46;;;
Paraguay;39439.47;86905.95;83003.03;83847.27;69049.06;90747.01;67108.72;138575.7;54092.03;46875.6;50027.5;50445.12;50843.95;;;
Peru;66574.04;49674.78;51029.15;53092.7;56438.52;68557.46;58736.85;70911.51;63708.12;64753.41;71614.29;73289.7;74806.96;;;
