Pays;Mammifères;Oiseaux;Reptiles;Amphibiens;Poissons;Mollusques;Autres_invertébrés;Plantes;Champignons et protistes;Total;Continent
South Africa;30;54;20;16;121;22;186;153;0;602;Africa
South Sandwich Islands;3;6;0;0;0;0;0;0;0;9;Africa
South Sudan;14;21;4;0;0;0;1;17;0;57;Africa
Spain;17;19;20;6;83;164;124;247;6;686;Europe
Sri Lanka;30;16;12;56;57;0;130;297;0;598;Asia
Sudan;16;26;6;0;32;0;50;17;0;147;Africa
Suriname;9;9;6;1;32;0;1;27;0;85;South America
Sweden;1;11;0;0;15;4;12;5;10;58;Europe
Switzerland;3;9;0;1;9;10;37;4;6;79;Europe
Syria;14;17;9;0;51;9;13;26;0;139;Asia
Taiwan;12;24;9;10;73;1;127;85;1;342;Asia
Tajikistan;7;15;5;0;5;0;3;12;0;47;Asia
Tanzania;41;49;34;61;179;11;136;644;0;1155;Africa
Thailand;59;62;37;7;106;15;196;159;0;641;Asia
Timor-Leste;5;6;2;0;13;0;1;2;0;29;Asia
Togo;13;13;6;2;38;2;1;13;0;88;Africa
Tokelau;0;1;3;0;10;0;35;0;0;49;Oceania
Tonga;2;5;5;0;16;4;43;5;0;80;Oceania
Trinidad and Tobago;2;5;7;8;37;0;10;50;0;119;North & Central America
Tunisia;14;11;6;1;39;7;13;9;0;100;Africa
Turkey;19;20;21;10;131;45;40;113;2;401;Asia
Turkmenistan;10;19;6;0;13;1;6;4;0;59;Asia
Turks and Caicos Islands;2;4;7;0;30;0;10;9;0;62;North & Central America
Tuvalu;2;1;3;0;13;1;77;0;0;97;Oceania
Uganda;31;30;4;2;60;14;16;64;0;221;Africa
Ukraine;11;17;1;0;24;9;29;22;1;114;Asia
United Arab Emirates;8;13;4;0;20;0;15;0;0;60;Asia
UK;5;11;1;0;48;7;13;42;6;133;Europe
USA;40;91;37;56;251;311;269;510;24;1589;North & Central America
United States Minor Outlying Islands;0;11;2;0;10;0;47;0;0;70;Oceania
Uruguay;10;22;6;5;45;0;2;22;0;112;South America
Uzbekistan;10;19;7;0;7;1;2;16;0;62;Asia
Vanuatu;8;8;4;0;18;3;88;10;0;139;Oceania
Venezuela;35;52;25;73;45;1;25;86;0;342;South America
Vietnam;56;52;73;45;83;30;122;231;0;692;Asia
Virgin Islands, British;1;3;14;2;31;0;10;20;0;81;North & Central America
Virgin Islands, US;1;3;14;2;29;0;0;17;0;66;North & Central America
Wallis and Futuna;0;9;2;0;12;0;64;1;0;88;Oceania
Western Sahara;10;5;1;0;33;2;1;0;0;52;Africa
Yemen;11;16;7;1;40;2;66;163;0;306;Asia
Zambia;13;20;2;0;20;12;2;23;0;92;Africa
Zimbabwe;10;19;4;7;3;0;7;52;0;102;Africa
